Title,Author,Pages,Publisher
Fundamentals of Wavelets,"Goswami, Jaideva",228,Wiley
Data Smart,"Foreman, John",235,Wiley
God Created the Integers,"Hawking, Stephen",197,Penguin
Superfreakonomics,"Dubner, Stephen",179,HarperCollins
Orientalism,"Said, Edward",197,Penguin
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",230,Springer
Integration of the Indian States,"Menon, V P",217,Orient Blackswan
"Drunkard's Walk, The","Mlodinow, Leonard",197,Penguin
Image Processing & Mathematical Morphology,"Shih, Frank",241,CRC
How to Think Like Sherlock Holmes,"Konnikova, Maria",240,Penguin
Data Scientists at Work,Sebastian Gutierrez,230,Apress
Slaughterhouse Five,"Vonnegut, Kurt",198,Random House
Birth of a Theorem,"Villani, Cedric",234,Bodley Head
Structure & Interpretation of Computer Programs,"Sussman, Gerald",240,MIT Press
"Age of Wrath, The","Eraly, Abraham",238,Penguin
"Trial, The","Kafka, Frank",198,Random House
Statistical Decision Theory',"Pratt, John",236,MIT Press
Data Mining Handbook,"Nisbet, Robert",242,Apress
"New Machiavelli, The","Wells, H. G.",180,Penguin
Physics & Philosophy,"Heisenberg, Werner",197,Penguin
Making Software,"Oram, Andy",232,O'Reilly
"Analysis, Vol I","Tao, Terence",248,HBA
Machine Learning for Hackers,"Conway, Drew",233,O'Reilly
"Signal and the Noise, The","Silver, Nate",233,Penguin
Python for Data Analysis,"McKinney, Wes",233,O'Reilly
Introduction to Algorithms,"Cormen, Thomas",234,MIT Press
"Beautiful and the Damned, The","Deb, Siddhartha",198,Penguin
"Outsider, The","Camus, Albert",198,Penguin
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",176,Random House
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",176,Random House
"Wealth of Nations, The","Smith, Adam",175,Random House
"Pillars of the Earth, The","Follett, Ken",176,Random House
Mein Kampf,"Hitler, Adolf",212,Rupa
"Tao of Physics, The","Capra, Fritjof",179,Penguin
Surely You're Joking Mr Feynman,"Feynman, Richard",198,Random House
"Farewell to Arms, A","Hemingway, Ernest",179,Rupa
"Veteran, The","Forsyth, Frederick",177,Transworld
False Impressions,"Archer, Jeffery",177,Pan
"Last Lecture, The","Pausch, Randy",197,Hyperion
Return of the Primitive,"Rand, Ayn",202,Penguin
Jurassic Park,"Crichton, Michael",174,Random House
"Russian Journal, A","Steinbeck, John",196,Penguin
Tales of Mystery and Imagination,"Poe, Edgar Allen",172,HarperCollins
Freakonomics,"Dubner, Stephen",197,Penguin
"Hidden Connections, The","Capra, Fritjof",197,HarperCollins
"Story of Philosophy, The","Durant, Will",170,Pocket
Journal of a Novel,"Steinbeck, John",196,Penguin
Once There Was a War,"Steinbeck, John",196,Penguin
"Moon is Down, The","Steinbeck, John",196,Penguin
"Brethren, The","Grisham, John",174,Random House
Catch 22,"Heller, Joseph",178,Random House
"Complete Mastermind, The",BBC,178,BBC
Dylan on Dylan,"Dylan, Bob",197,Random House
Soft Computing & Intelligent Systems,"Gupta, Madan",242,Elsevier
Textbook of Economic Theory,"Stonier, Alfred",242,Pearson
Econometric Analysis,"Greene, W. H.",242,Pearson
Learning OpenCV,"Bradsky, Gary",232,O'Reilly
Data Structures Using C & C++,"Tanenbaum, Andrew",235,Prentice Hall
"Computer Vision, A Modern Approach","Forsyth, David",255,Pearson
Principles of Communication Systems,"Taub, Schilling",240,TMH
Let Us C,"Kanetkar, Yashwant",213,Prentice Hall
"Amulet of Samarkand, The","Stroud, Jonathan",179,Random House
Crime and Punishment,"Dostoevsky, Fyodor",180,Penguin
Angels & Demons,"Brown, Dan",178,Random House
Sea of Poppies,"Ghosh, Amitav",197,Penguin
"Idea of Justice, The","Sen, Amartya",212,Penguin
"Raisin in the Sun, A","Hansberry, Lorraine",175,Penguin
All the President's Men,"Woodward, Bob",177,Random House
"Prisoner of Birth, A","Archer, Jeffery",176,Pan
Scoop!,"Nayar, Kuldip",216,HarperCollins
"Social Choice & Welfare, Vol 39 No. 1",Various,235,Springer
"City of Joy, The","Lapierre, Dominique",177,vikas
Freedom at Midnight,"Lapierre, Dominique",167,vikas
"Winter of Our Discontent, The","Steinbeck, John",196,Penguin
On Education,"Russell, Bertrand",203,Routledge
Free Will,"Harris, Sam",203,FreePress
"Case of the Lame Canary, The","Gardner, Earle Stanley",179,
"Theory of Everything, The","Hawking, Stephen",217,Jaico
New Markets & Other Essays,"Drucker, Peter",176,Penguin
Electric Universe,"Bodanis, David",201,Penguin
"Hunchback of Notre Dame, The","Hugo, Victor",175,Random House
Burning Bright,"Steinbeck, John",175,Penguin
"Age of Discontuinity, The","Drucker, Peter",178,Random House
Doctor in the Nude,"Gordon, Richard",179,Penguin
Down and Out in Paris & London,"Orwell, George",179,Penguin
Identity & Violence,"Sen, Amartya",219,Penguin
Beyond the Three Seas,"Dalrymple, William",197,Random House
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",171,Vintage
Ashenden of The British Agent,"Maugham, William S",160,Vintage
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",172,Vintage
"Great War for Civilization, The","Fisk, Robert",197,HarperCollins
We the Living,"Rand, Ayn",178,Penguin
"Artist and the Mathematician, The","Aczel, Amir",186,HighStakes
History of Western Philosophy,"Russell, Bertrand",213,Routledge
Rationality & Freedom,"Sen, Amartya",213,Springer
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",228,Simon&Schuster
Uncommon Wisdom,"Capra, Fritjof",197,Fontana
One,"Bach, Richard",172,Dell
To Sir With Love,Braithwaite,197,Penguin
Half A Life,"Naipaul, V S",196,
Unpopular Essays,"Russell, Bertrand",198,
"Deceiver, The","Forsyth, Frederick",178,
Veil: Secret Wars of the CIA,"Woodward, Bob",171,
Rosy is My Relative,"Durrell, Gerald",176,
"Moon and Sixpence, The","Maugham, William S",180,
"Short History of the World, A","Wells, H G",197,
"Trembling of a Leaf, The","Maugham, William S",205,
Doctor on the Brain,"Gordon, Richard",204,
Simpsons & Their Mathematical Secrets,"Singh, Simon",233,
Pattern Classification,"Duda, Hart",241,
"Code Book, The","Singh, Simon",197,
"Age of the Warrior, The","Fisk, Robert",197,
"Numbers Behind Numb3rs, The","Devlin, Keith",202,
"Life in Letters, A","Steinbeck, John",196,
"Information, The","Gleick, James",233,
Elements of Information Theory,"Thomas, Joy",229,
Power Electronics - Rashid,"Rashid, Muhammad",235,
Power Electronics - Mohan,"Mohan, Ned",237,
Neural Networks,"Haykin, Simon",240,
"Grapes of Wrath, The","Steinbeck, John",196,
Statistical Learning Theory,"Vapnik, Vladimir",228,
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",180,
Empire of the Mughal - Brothers at War,"Rutherford, Alex",180,
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",180,
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",180,
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",180,
Mossad,"Baz-Zohar, Michael",236,
Jim Corbett Omnibus,"Corbett, Jim",223,
20000 Leagues Under the Sea,"Verne, Jules",190,
Pointers in C,"Kanetkar, Yashwant",213,
"Cathedral and the Bazaar, The","Raymond, Eric",217,
Design with OpAmps,"Franco, Sergio",240,
Think Complexity,"Downey, Allen",230,
"Devil's Advocate, The","West, Morris",178,
Philosophy: Who Needs It,"Rand, Ayn",171,
Data Analysis with Open Source Tools,"Janert, Phillip",230,
Broca's Brain,"Sagan, Carl",174,
Men of Mathematics,"Bell, E T",217,
Oxford book of Modern Science Writing,"Dawkins, Richard",240,
"History of England, Foundation","Ackroyd, Peter",197,
City of Djinns,"Dalrymple, William",198,
More Tears to Cry,"Sassoon, Jean",235,
"Ropemaker, The","Dickinson, Peter",196,
Angels & Demons,"Brown, Dan",170,
"Prince, The",Machiavelli,173,
Eyeless in Gaza,"Huxley, Aldous",180,
Tales of Beedle the Bard,"Rowling, J K",184,
Girl with the Dragon Tattoo,"Larsson, Steig",179,
Girl who kicked the Hornet's Nest,"Larsson, Steig",179,
Girl who played with Fire,"Larsson, Steig",179,
Structure and Randomness,"Tao, Terence",252,
Image Processing with MATLAB,"Eddins, Steve",241,
Animal Farm,"Orwell, George",180,
"Idiot, The","Dostoevsky, Fyodor",197,
"Christmas Carol, A","Dickens, Charles",196,
